market_sku,sku_name,market_spu,spu_name,subcategory,category,collection,color_tone,material_helper
US-T54000008C-L-WA-PY4003,Owen Chaise Sectional Sofa Left Facing Walnut Performance Moss,US-T54000008,Owen Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Owen,multi_tone,Fabric|Wood
US-TAS-000329C-SV-PY4002,Adams Loveseat Performance Dove Grey Silver,US-TAS-000329,Adams Loveseat,Loveseats,Sofa & Armchairs,Adams,multi_tone,Fabric|Metal
US-PB-000636-PG4001,"Mori Right Arm 2 Seater with Side Ottoman & Armchair & C-Side Table, Alpine",US-TPB-000627,"Mori Build-Your-Own Living Room Set, 2-3 Seater",Sofa Sets,Furniture Sets,Mori,white_tone,Fabric|Feather|Wood
US-PB-000735-PG4001,"Mori L-Shape with Ottoman & Armchair & Side Table, Performance Alpine",US-TPB-000735,"Mori Build-Your-Own Living Room Set, 4-5 Seater",Sofa Sets,Furniture Sets,Mori,white_tone,Fabric|Feather|Wood
US-PB-000758-AR4002,"Auburn Curve 3 Seater with Ottoman & Wedge Storage Console Black, Performance Basalt",US-TPB-000744,"Auburn Build-Your-Own Living Room Set, 3-4 Seater",Sofa Sets,Furniture Sets,Auburn,grey_tone,Fabric|Performance Fabric|Bouclé
US-PB-000758-CB4001,"Auburn Curve 3 Seater with Ottoman & Wedge Storage Console Black, Performance Chalk Bouclé",US-TPB-000744,"Auburn Build-Your-Own Living Room Set, 3-4 Seater",Sofa Sets,Furniture Sets,Auburn,white_tone,Fabric|Performance Fabric|Bouclé
US-TAS-000188C-SV-IN4002,Adams Sofa Performance White Quartz Bouclé Silver,US-TAS-000188,Adams Sofa,3 Seater Sofas,Sofa & Armchairs,Adams,multi_tone,Fabric|Metal
US-TPB-000239,Lily Dining Table with 4 Chairs,US-TPB-000239,Lily Dining Table with 4 Chairs,Rectangular Dining Table Sets,Furniture Sets,Lily,multi_tone,Wood|Fabric
US-54000109-PG4001,"Mori 3 Seater Sofa Seat, Performance Alpine",US-T54000109,Mori 3 Seater Sofa Seat,3 Seater Sofas,Sofa & Armchairs,Mori,white_tone,
US-PB-000767-CB4001,"Auburn Curve L-Shape with 2 Rectangular Storage Console Black & Ottoman, Performance Chalk Bouclé",US-TPB-000777,"Auburn Build-Your-Own Living Room Set, 5-6 Seater",Sofa Sets,Furniture Sets,Auburn,white_tone,Fabric|Performance Fabric|Bouclé
US-TAS-000284C-L-PY4001,Jonathan Side Chaise Sectional Sofa Performance Ivory Left Facing,US-TAS-000284,Jonathan Side Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Jonathan,multi_tone,Fabric
AU-AS-000068C-LY4006-BLK,"Adams Armless 2 Seater Sofa Customized, Seal Grey (Black Leg)",AU-TAS-000068C,Adams Armless 2 Seater Sofa,Modular Armless 2-Seater Sofas,Sofa & Armchairs,Adams,black_tone,Fabric
AU-AS-000073C-LY4002-BLK,"Adams Extended Chaise Sectional Sofa Left Facing Customized, Owl Grey (Black Leg)",AU-TAS-000073C,Adams Extended Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Adams,grey_tone,Fabric
