market_sku,sku_name,market_spu,spu_name,subcategory,category,collection,color_tone,material_helper
US-54000067-NG4001,"Dawson King Size Bed, Beach Linen",US-T54000053,Dawson Bed,Bedframes,Beds,Dawson,beige_tone,Fabric|Wood
US-54000147-NG4001,"Dawson King Size Bed, Beach Linen",US-T54000053,Dawson Bed,Bedframes,Beds,Dawson,beige_tone,Fabric|Wood
US-40550215,Seb Chair,US-T40550196,Seb Chair,Dining Chairs,Chairs & Benches,Seb,brown_tone,Wood
US-40550230,Seb 6-Drawer Dresser,US-T40550205,Seb 6-Drawer Dresser,Dressers,Storage,Seb,multi_tone,Wood
US-54000145-NG4001,"Dawson Queen Size Bed, Beach Linen",US-T54000053,Dawson Bed,Bedframes,Beds,Dawson,beige_tone,Fabric|Wood
US-54000137-NG4001,"Dawson King Size Storage Bed, Beach Linen",US-T54000135,Dawson Storage Bed,Bedframes,Beds,Dawson,beige_tone,Metal|Fabric|Plastic
US-52460074,Brighton Oval Dining Table,US-T52460074,Brighton Oval Dining Table,Round Dining Tables,Tables,Brighton,brown_tone,Wood
US-50440799-IN4002,"Rochelle Performance Bouclé King Size Bed, White Quartz Bouclé",US-T50440797,Rochelle Performance Bouclé Bed,Bedframes,Beds,Rochelle,white_tone,Fabric|Wood|Bouclé|Performance Fabric
US-AS-000243-IN4002,"Marlow Boucle Curve Sofa, White Quartz Bouclé",US-TAS-000243,Marlow Performance Bouclé Curve Sofa,3 Seater Sofas,Sofa & Armchairs,Marlow,white_tone,Fabric|Bouclé|Performance Fabric
AU-50440836-NG4001,"Dalton Storage King Size Bed, Beach Linen",AU-T50440835,Dalton Storage Bed,Bedframes,Beds,Dalton,beige_tone,Fabric|Wood
US-AS-000308-CB4001,"Auburn Performance Bouclé Sectional Sofa, Chalk",US-TAS-000308,Auburn Performance Fabric Sectional Sofa,L-Shape Sectional Sofas,Sofa & Armchairs,Auburn,white_tone,Fabric|Performance Fabric|Bouclé
US-41960026,"Vincent Dining Table 71"", Walnut",US-T41960001,"Vincent Dining Table, Walnut",Rectangular Dining Tables,Tables,Vincent,brown_tone,Wood
US-50520001,Sloane TV Stand,US-T50520001,Sloane TV Stand,TV Stands,Storage,Sloane,grey_tone,Wood
US-50440761-PM4002,"Hamilton Chaise Sectional Sofa Left Facing, Performance Brilliant White",US-T50440761,Hamilton Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Hamilton,white_tone,Fabric|Metal|Performance Fabric
US-50520016,Sloane Sideboard,US-T50520002,Sloane Sideboard,Sideboards,Storage,Sloane,grey_tone,Wood
US-50440791-NG4001,"Dalton Queen Size Bed, Beach Linen",US-T50440791,Dalton Bed,Bedframes,Beds,Dalton,beige_tone,Wood|Fabric
US-50440797-IN4002,"Rochelle Performance Bouclé Queen Size Bed, White Quartz Bouclé",US-T50440797,Rochelle Performance Bouclé Bed,Bedframes,Beds,Rochelle,white_tone,Fabric|Wood|Bouclé|Performance Fabric
US-41960001,"Vincent Dining Table, 59""",US-T41960001,"Vincent Dining Table, Walnut",Rectangular Dining Tables,Tables,Vincent,brown_tone,Wood
AU-52460052,Mika Side Table,AU-T52460052,Mika Side Table,Side Tables,Tables,Mika,brown_tone,Wood
US-40550092,"Seb Bench, 51.2""",US-T40550092,Seb Bench,Dining Benches,Chairs & Benches,Seb,brown_tone,Wood
US-40550225,"Casa Rectangular Dining Table, 220cm",US-T40550224,Casa Dining Table,Rectangular Dining Tables,Tables,Casa,white_tone,Wood
US-40550224,"Casa Rectangular Dining Table, 180cm",US-T40550224,Casa Dining Table,Rectangular Dining Tables,Tables,Casa,white_tone,Wood
US-AS-000196-LE4016,"Jonathan Sofa Leather, Caramel",US-T54000027,Jonathan Leather Sofa,3 Seater Sofas,Sofa & Armchairs,Jonathan,brown_tone,Leather
US-AS-000374-NG4001,"Dawson Sofa, Beach Linen",US-TAS-000227,Dawson Sofa,3 Seater Sofas,Sofa & Armchairs,Dawson,beige_tone,Fabric|Feather
US-AS-000227-NG4001,"Dawson 3 Seater Sofa, Beach Linen",US-TAS-000227,Dawson Sofa,3 Seater Sofas,Sofa & Armchairs,Dawson,beige_tone,Fabric|Feather
US-40210003-CH,"Maui Outdoor Loveseat & 2 Lounge Chairs Set, Charcoal",US-TPB-000211,Maui Outdoor Loveseat & 2 Lounge Chairs Set,Outdoor Sofa Sets,Outdoor,Maui Outdoor,black_tone,Fabric|Metal|Wood
US-40280045,Crescent 1-Drawer Nightstand,US-T40280045,Crescent 1-Drawer Nightstand,Bedside Tables,Storage,Crescent,yellow_tone,Wood
AU-50320007-CB4001,"Winslow Dining Arm Chair, Performance Chalk Bouclé",AU-T50320007,Winslow Performance Bouclé Dining Arm Chair,Dining Chairs,Chairs & Benches,Winslow,white_tone,Fabric|Metal
AU-54000131-NG4001,"Dawson Swivel Armchair, Beach Linen",AU-T54000131,Dawson Swivel Armchair,Armchairs,Sofa & Armchairs,Dawson,beige_tone,Fabric|Feather
US-44230015,"Mira Area Rug, Ivory, 9’ x 12’",US-T44230013,Mira Wool Area Rug,Area Rugs,Accessories,Mira,beige_tone,Wool|Cotton|Responsibly Sourced|Handmade
AU-50440823-CB4001,"Auburn Left Arm Chaise, Performance Bouclé Chalk",AU-T50440823,Auburn Performance Fabric Left Arm Chaise,Modular Chaises,Sofa & Armchairs,Auburn,white_tone,Fabric|Performance Fabric|Bouclé
US-44230023,"Cora Area Rug, Clay, 7.5’ x 9’",US-T44230016,Cora Wool Area Rug,Area Rugs,Accessories,Cora,grey_tone,Wool|Responsibly Sourced|Handmade
US-44230026,"Cora Area Rug, Sand, 7.5’ x 9’",US-T44230016,Cora Wool Area Rug,Area Rugs,Accessories,Cora,brown_tone,Wool|Responsibly Sourced|Handmade
AU-54000012-GI4002,"Carrie Chair, Dark Granite",AU-T54000012,Carrie Chair,Dining Chairs,Chairs & Benches,Carrie,multi_tone,Fabric|Wood
AU-50440863-BW4002,"Desmond Rocking Armchair, Opal Beige",AU-T50440863,Desmond Rocking Armchair,Rocking Chairs,Sofa & Armchairs,Desmond,beige_tone,Wood|Fabric
AU-54000063-CY4001,"Lexi Queen Size Tufted Bed, Frost White",AU-T54000036,Lexi Tufted Bed,Bedframes,Beds,Lexi,white_tone,Wood|Fabric
AU-54000013-GI4002,"Jonathan Ottoman, Dark Granite",AU-T54000013,Jonathan Ottoman,Modular Ottomans,Sofa & Armchairs,Jonathan,black_tone,Fabric
US-52460101-BO,"Sloane Cane Chair Honey Oak, Meadow Zest",US-T52460101,Sloane Cane Chair,Dining Chairs,Chairs & Benches,Limited Edition | Sloane,brown_tone,Fabric|Wood|Cane
AU-AS-000390-LE4017,"Jonathan Leather Extended Side Chaise Sectional Left Facing, Warm Taupe",AU-TAS-000390,Jonathan Leather Extended Side Chaise Sectional,Chaise Sectional Sofas,Sofa & Armchairs,Jonathan,brown_tone,Leather
AU-AS-000280-CA4001-NA,"Owen Chaise Sectional Sofa Left Hand Facing, Haze (Natural Leg)",AU-TAS-000280,Owen Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Owen,grey_tone,Fabric|Wood
US-50440837-NG4001,"Dalton Storage King Size Bed, Beach Linen",US-TAS-000349,Dalton Storage Bed,Bedframes,Beds,Dalton,beige_tone,Fabric|Wood
US-AS-000433-NG4001,"Dalton Storage King Size Bed, Beach Linen",US-TAS-000349,Dalton Storage Bed,Bedframes,Beds,Dalton,beige_tone,Fabric|Wood
US-50440835-NG4001,"Dalton Storage Queen Size Bed, Beach Linen",US-TAS-000349,Dalton Storage Bed,Bedframes,Beds,Dalton,beige_tone,Fabric|Wood
US-40550206,"Seb Extendable Dining Table, 74.8""-94.5""",US-T40550206,"Seb Extendable Dining Table, 74.8""-94.5""",Extendable Dining Tables,Tables,Seb,multi_tone,Wood
US-41360025,"Harper TV Stand, Black Leg",US-T41360025,Harper TV Stand,TV Stands,Storage,Harper,brown_tone,Wood|Metal
US-40550103,Seb Nightstand,US-T40550103,Seb Nightstand,Bedside Tables,Storage,Seb,brown_tone,Wood
US-AS-000231-NG4001,"Dawson L-Shape Sectional Sofa, Beach Linen",US-TAS-000231,Dawson L-Shape Sectional Sofa,L-Shape Sectional Sofas,Sofa & Armchairs,Dawson,beige_tone,Fabric|Feather
US-AS-000243-IN4001,"Marlow Boucle Curve Sofa, White Quartz Bouclé",US-TAS-000243,Marlow Performance Bouclé Curve Sofa,3 Seater Sofas,Sofa & Armchairs,Marlow,white_tone,Fabric|Bouclé|Performance Fabric
US-50440725-LP4001,"Amber Boucle Swivel Chair, Snow",US-T50440725,"Amber Bouclé Swivel Chair, Snow",Accent Armchairs,Sofa & Armchairs,Amber,multi_tone,Bouclé
US-41960002,"Vincent Dining Table, 71""",US-T41960001,"Vincent Dining Table, Walnut",Rectangular Dining Tables,Tables,Vincent,brown_tone,Wood
US-AS-000307-CB4001,"Auburn Performance Bouclé Curve Sofa, Chalk",US-TAS-000307,Auburn Performance Fabric Curve Sofa,3 Seater Sofas,Sofa & Armchairs,Auburn,white_tone,Fabric|Performance Fabric|Bouclé
US-50520002,Sloane Sideboard,US-T50520002,Sloane Sideboard,Sideboards,Storage,Sloane,grey_tone,Wood
US-AS-000437-LP4001,"Joseph King Size Bed, Snow Bouclé (US Ver)",US-TAS-000436,"Joseph Bed, Bouclé",Bedframes,Beds,Joseph,multi_tone,Wood|Bouclé
US-40550210,"Seb TV Stand, Long",US-T40550097,Seb TV Stand,TV Stands,Storage,Seb,brown_tone,Wood
US-50440763-PM4002,"Hamilton Sofa, Performance Brilliant White",US-T50440763,Hamilton Sofa,3 Seater Sofas,Sofa & Armchairs,Hamilton,white_tone,Fabric|Metal|Performance Fabric
US-54000147-NG4002,"Dawson King Size Bed, Seagull",US-T54000053,Dawson Bed,Bedframes,Beds,Dawson,grey_tone,Fabric|Wood
US-52460094-AR4001,"Sloane Cane Chair, Dune (Grey Oak)",US-T52460094,Sloane Cane Chair,Dining Chairs,Chairs & Benches,Sloane,grey_tone,Fabric|Wood
US-40550113,"Seb Dining Table, 59""",US-T40550094,Seb Dining Table,Rectangular Dining Tables,Tables,Seb,brown_tone,Wood
US-40550229,Seb 4 Drawer Dresser,US-T40550102,Seb 4-Drawer Dresser,Dressers,Storage,Seb,brown_tone,Wood
AU-50440830-PM4001,"Hamilton Swivel Armchair 130cm, Performance Smoke Grey",AU-T50440830,Hamilton Round Performance Fabric Swivel Armchair and a Half,Armchairs,Sofa & Armchairs,Hamilton,grey_tone,Fabric|Metal
US-50630003,"Aria Wall Mirror, 35.4"" x 23.6""",US-T50630003,"Aria Wall Mirror, 35.4"" x 23.6""",Wall Mirrors,Mirrors,Aria,yellow_tone,Stainless Steel|Wood
US-40550080,"Miles Bench, 63""",US-T40550079,Miles Bench,Dining Benches,Chairs & Benches,Miles,yellow_tone,Wood|Metal|Fabric
US-AS-000310-CB4001,"Auburn Performance Bouclé Armless Curve Sofa, Chalk",US-TAS-000310,Auburn Performance Fabric Armless Curve Sofa,3 Seater Sofas,Sofa & Armchairs,Auburn,white_tone,Fabric|Performance Fabric|Bouclé
US-AS-000522-VE4001,"Fable Side Chaise Sofa Right Facing, (Vermont) Performance Oyster",US-TAS-000521,Fable Performance Fabric Side Chaise Sofa,Extended 3 Seater Sofas,Sofa & Armchairs,Fable,grey_tone,Fabric|Performance Fabric
US-54000139-NG4001,"Dawson Right Arm Sofa, Beach Linen",US-T54000043,Dawson Right Arm Sofa,Modular Corner Sofas,Sofa & Armchairs,Dawson,beige_tone,Fabric|Feather
AU-50220012,"Sawyer Rectangular Dining Table, 220cm",AU-T50220011,Sawyer Dining Table,Rectangular Dining Tables,Tables,Sawyer,multi_tone,Wood
US-40210001-TP,"Maui Outdoor Loveseat, Taupe",US-TAS-000215,Maui Outdoor Loveseat,Outdoor Loveseats,Outdoor,Maui Outdoor,grey_tone,Fabric|Metal|Wood
AU-40370041,"Desi Wool Area Rug, 153 x 244cm",AU-T40370041,Desi Wool Area Rug,Area Rugs,Accessories,Desi,beige_tone,Wool
US-50110065,"Sorrento Outdoor Dining Table, 82.7"" Standard Tube",US-TAS-000342,Sorrento Outdoor Dining Table,Outdoor Rectangular Dining Tables,Outdoor,Sorrento Outdoor,brown_tone,Metal
AU-54000058-GI4002,"Carrie Chair, Dark Granite",AU-T54000012,Carrie Chair,Dining Chairs,Chairs & Benches,Carrie,black_tone,Fabric|Wood
AU-54000013-LE4017,"Jonathan Leather Ottoman, Warm Taupe",AU-T54000013-LE,Jonathan Leather Ottoman,Ottomans,Sofa & Armchairs,Jonathan,brown_tone,Leather
AU-50440876-IN4003-CM,"Marlow Armless 2 Seater Sofa, Performance Ginger (Caramel)",AU-T50440777,Marlow Performance Bouclé Armless 2 Seater Sofa,Modular Armless 2-Seater Sofas,Sofa & Armchairs,Marlow,orange_tone,Fabric|Bouclé|Performance Fabric
US-44230009,"Talia Area Rug, Sand, 9’ x 12’",US-T44230007,Talia Wool Area Rug,Area Rugs,Accessories,Talia,brown_tone,Wool|Cotton|Responsibly Sourced|Handmade
AU-AS-000387-LE4017,"Jonathan Leather Extended Side Chaise Sofa Right Facing, Warm Taupe",AU-TAS-000386,Jonathan Leather Extended Side Chaise Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Jonathan,brown_tone,Leather
US-50440878-IN4003-CM,"Marlow Armless Sofa, Performance Ginger (Caramel)",US-T50440779,Marlow Performance Bouclé Armless Sofa,Modular Armless Sofas,Sofa & Armchairs,Marlow,orange_tone,Fabric|Bouclé|Performance Fabric
AU-50440811-CB4001,"Auburn Performance Bouclé Curve Corner Sofa, Chalk",AU-T50440811,Auburn Performance Fabric Curve Corner Sofa,Modular Corner Sofas,Sofa & Armchairs,Auburn,white_tone,Fabric|Performance Fabric|Bouclé
US-50110002,"Sorrento Outdoor Sofa, Oat Beige",US-TAS-000204,Sorrento Outdoor Sofa,Outdoor 3 Seater Sofas,Outdoor,Sorrento Outdoor,beige_tone,Fabric|Metal
AU-AS-000282-CA4001-NA,"Owen Chaise Sectional Sofa Right Hand Facing, Haze (Natural Leg)",AU-TAS-000280,Owen Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Owen,grey_tone,Fabric|Wood
AU-44230008,"Talia Area Rug, Sand, 229 x 274cm",AU-T44230007,Talia Wool Area Rug,Area Rugs,Accessories,Talia,brown_tone,Wool|Cotton|Responsibly Sourced|Handmade
AU-50630008,Luna Large Wall Mirror,AU-T50630008,Luna Large Wall Mirror,Wall Mirrors,Mirrors,Luna,white_tone,Resin|Wood
US-44230007,"Talia Area Rug, Sand, 5' x 8'",US-T44230007,Talia Wool Area Rug,Area Rugs,Accessories,Talia,brown_tone,Wool|Cotton|Responsibly Sourced|Handmade
AU-AS-000380-TL4002-WA,"Owen Armchair, Pearl Beige (Walnut Leg)",AU-TAS-000380,Owen Armchair,Armchairs,Sofa & Armchairs,Owen,beige_tone,Fabric|Wood
US-53680018-WH,"Percale King Size Duvet Cover, Wheat",US-T53680017,Percale Duvet Cover,Duvet Covers,Accessories,Percale,beige_tone,Cotton
US-50110020-BG,"Sorrento Outdoor Chair Cover, Beige",US-T50110020,Sorrento Outdoor Chair Cover,Outdoor Furniture Covers,Outdoor,Sorrento Outdoor,beige_tone,Fabric
US-AS-000410-AR4002-WA,"Auburn Wedge Storage Console, Performance Basalt (Walnut)",US-TAS-000410,Auburn Wedge Storage Console,Modular Storage Console,Sofa & Armchairs,Auburn,grey_tone,Fabric|Performance Fabric|Bouclé|Wood
US-AS-000439-AR4002-WA,"Auburn Wedge Storage Console, Performance Basalt (Walnut) (Version 2)",US-TAS-000410,Auburn Wedge Storage Console,Modular Storage Console,Sofa & Armchairs,Auburn,grey_tone,Fabric|Performance Fabric|Bouclé|Wood
AU-40370032,"Odessa Jute Area Rug, 244 x 305cm",AU-T40370031,Odessa Jute Area Rug,Area Rugs,Accessories,Odessa,black_tone,Jute
AU-50110064-BG,"Sierra Outdoor Dining Chair Cover, Beige",AU-T50110064,Sierra Outdoor Dining Chair Cover,Outdoor Furniture Covers,Outdoor,Sierra Outdoor,multi_tone,Fabric
AU-50110042-BG,"Sierra Outdoor Right Facing 2 Seater Sofa Cover, Beige",AU-T50110042,Sierra Outdoor Right Facing 2 Seater Sofa Cover,Outdoor Furniture Covers,Outdoor,Sierra Outdoor,beige_tone,Fabric
AU-50110061,Sierra Outdoor Dining Table,AU-T50110061,Sierra Outdoor Dining Table,Outdoor Rectangular Dining Tables,Outdoor,Sierra Outdoor,brown_tone,Metal
US-50420004-CI4001,"Elias Right Hand Facing 2 Seater Sofa, Heron Gray",US-T50420003,Elias Single Arm 2 Seater Sofa,Modular 2-Seater Sofas,Sofa & Armchairs,Elias,grey_tone,Fabric|Wood
US-53680026-CL,"Percale Standard Size Pillowcase Set of 2, Cloud",US-T53680026,"Percale Pillowcase, Set of 2",Pillowcases,Accessories,Percale,white_tone,Cotton
US-50720015-EM4001,"Sorrento Outdoor Corner Sofa, Natural Beige",US-TAS-000210,Sorrento Outdoor Corner Sofa,Outdoor Modular Corner Sofas,Outdoor,Sorrento Outdoor,beige_tone,Fabric|Metal
AU-AS-000326C-LY4001-BLK,"Adams Queen Size Bed Customized, Navy Blue (Black Leg)",AU-TAS-000325C,"Adams Bed, Fumo Grey",Bedframes,Beds,Adams,blue_tone,Fabric|Velvet
AU-AS-000119-VL4009-NA,"Alfie Extended Chaise Sectional Sofa Right Facing Customized, Fern Green Velvet (Natural)",AU-TAS-000118C,Alfie Extended Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Alfie,green_tone,Velvet
AU-AS-000078C-VL4009-SV,"Adams U-Shape Sectional Sofa with Ottoman Right Facing Customized, Fern Green Velvet (Silver Leg)",AU-TAS-000077C,Adams U-Shape Sectional Sofa with Ottoman,U-Shape Sectional Sofas,Sofa & Armchairs,Adams,green_tone,Velvet
AU-AS-000113C-LY4006-WA,"Alfie Sofa Customized, Seal Grey (Walnut)",AU-TAS-000113C,Alfie Sofa,3 Seater Sofas,Sofa & Armchairs,Alfie,black_tone,Fabric
AU-50440285-LEDL4002,"Todd Queen Size Storage Bed Leather, Camel",AU-T50440285C-LE,Todd Storage Bed Leather,Bedframes,Beds,Todd,brown_tone,Leather
AU-AS-000115C-SR4006-WA,"Alfie Extended Sofa Right Facing Customized, Forest Green (Walnut)",AU-TAS-000114C,Alfie Extended Sofa,3 Seater Sofas,Sofa & Armchairs,Alfie,green_tone,Fabric
AU-AS-000132C-LE4012-SV,"Adams Armless 2 Seater Sofa Leather Customized, Metro (Silver Leg)",AU-TAS-000132C,Adams Armless 2 Seater Sofa Leather,Modular Armless 2-Seater Sofas,Sofa & Armchairs,Adams,grey_tone,Leather
AU-AS-000133C-LE4010-SV,"Adams Right Chaise Leather Customized, Soot (Silver Leg)",AU-TAS-000133C,Adams Right Chaise Leather,Modular Chaises,Sofa & Armchairs,Adams,black_tone,Leather
AU-AS-000134C-LE4013-SV,"Adams Right Facing 2-Seater Leather Customized, Graphite (Silver Leg)",AU-TAS-000134C,Adams Right Facing 2 Seater Sofa Leather,Modular 2-Seater Sofas,Sofa & Armchairs,Adams,black_tone,Leather
AU-TAS-000082C-L-GD-PY4001,Adams Chaise Sectional Sofa Performance Ivory Left Facing Brass,AU-TAS-000082,Adams Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Adams,multi_tone,Fabric|Metal
AU-TAS-000082C-L-SV-PY4004,Adams Chaise Sectional Sofa Performance Cumin Left Facing Silver,AU-TAS-000082,Adams Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Adams,multi_tone,Fabric|Metal
AU-AS-000125C-LE4010-GD,"Adams Right Corner Sofa Leather Customized, Soot (Brass Leg)",AU-TAS-000125C,Adams Right Corner Sofa Leather,Modular Side Corner Sofas,Sofa & Armchairs,Adams,black_tone,Leather
AU-AS-000141C-LE4010-BLK,"Adams Chaise Sectional Sofa with Ottoman Left Facing Leather Customized, Soot (Black Leg)",AU-TAS-000141C,Adams Chaise Sectional Sofa with Ottoman Leather,Chaise Sectional Sofas,Sofa & Armchairs,Adams,black_tone,Leather
AU-40280015,Logan Shelf,AU-T40280015,Logan Shelf,Shelves,Storage,Logan,multi_tone,Wood
AU-40280020,Logan King Size Bed,AU-T40280019,Logan Bed,Bedframes,Beds,Logan,brown_tone,Wood
AU-AS-000127C-LE4007-GD,"Adams Armchair Leather Customized, Saddle Tan (Brass Leg)",AU-TAS-000127C,Adams Armchair Leather,Armchairs,Sofa & Armchairs,Adams,brown_tone,Leather
US-AS-000143-LE4011-BLK,"Adams Extended Chaise Sectional Sofa Left Hand Facing Leather, Mocha (Black Leg)",US-TAS-000144,Adams Extended Chaise Sectional Sofa Leather,Chaise Sectional Sofas,Sofa & Armchairs,Adams,brown_tone,Leather
AU-T40260026C-160,Eve Rug,AU-TT40260026C-160,Eve Rug,Rugs,Accessories,Eve,multi_tone,
AU-53280011,Teal Swirl Framed Canvas,AU-T53280011,Teal Swirl Framed Canvas,Wall Art,Accessories,Teal,blue_tone,Canvas|Wood
AU-50650015-BB,"Pamela Chair, Berry Blue",AU-T50650015,Pamela Chair,Dining Chairs,Chairs & Benches,Pamela,multi_tone,Velvet
US-TAS-000329C-BLK-PY4001,Adams Loveseat Performance Ivory Black,US-TAS-000329,Adams Loveseat,Loveseats,Sofa & Armchairs,Adams,multi_tone,Fabric|Metal
US-TAS-000329C-BLK-PY4002,Adams Loveseat Performance Dove Grey Black,US-TAS-000329,Adams Loveseat,Loveseats,Sofa & Armchairs,Adams,multi_tone,Fabric|Metal
US-T54000013C-CY4002,Jonathan Ottoman Nickel Gray,US-T54000013,Jonathan Ottoman,Modular Ottomans,Sofa & Armchairs,Jonathan,multi_tone,Fabric
US-T54000023C-VL4014,Jonathan Corner Sofa Olive Gold Velvet,US-T54000023,Jonathan Corner Sofa,Modular Corner Sofas,Sofa & Armchairs,Jonathan,multi_tone,Fabric
US-T54000015C-IN4003,Jonathan Left Arm Sofa Performance Ginger,US-T54000015,Jonathan Left Arm Sofa,Modular Side Corner Sofas,Sofa & Armchairs,Jonathan,multi_tone,Fabric
US-T54000043C-TL4002-removable,Dawson Right Arm Sofa Pearl Beige Removable,US-T54000043,Dawson Right Arm Sofa,Modular Corner Sofas,Sofa & Armchairs,Dawson,multi_tone,Fabric|Feather
US-T54000044C-VL4014-removable,Dawson Armless Sofa Olive Gold Velvet Removable,US-T54000044,Dawson Armless Sofa,Modular Armless Sofas,Sofa & Armchairs,Dawson,multi_tone,Fabric|Feather
US-T54000044C-PM4002-removable,Dawson Armless Sofa Performance Brilliant White Removable,US-T54000044,Dawson Armless Sofa,Modular Armless Sofas,Sofa & Armchairs,Dawson,multi_tone,Fabric|Feather
US-T54000131C-S1-PY4001,Dawson Swivel Armchair Performance Ivory Single,US-T54000131,Dawson Swivel Armchair,Armchairs,Sofa & Armchairs,Dawson,multi_tone,Fabric|Feather
US-TAS-000359C-BLK-PY4001,Adams Armchair Performance Ivory Black,US-TAS-000359,Adams Armchair,Armchairs,Sofa & Armchairs,Adams,multi_tone,Fabric|Metal
AU-AS-000191C-SR4006-SV,"Adams Ottoman Customized, Forest Green (Silver Leg)",AU-TAS-000191,Adams Ottoman,Ottomans,Sofa & Armchairs,Adams,green_tone,Fabric|Metal
AU-AS-000071C-DU4004-BLK,"Adams Armchair Customized, Marsala (Black Leg)",AU-TAS-000071C,Adams Armchair,Armchairs,Sofa & Armchairs,Adams,red_tone,Fabric
AU-AS-000078-VL4007-BLK,"Adams U-Shape Sectional Sofa with Ottoman Right Facing, Fog Grey Velvet (Black Leg)",AU-TAS-000077C,Adams U-Shape Sectional Sofa with Ottoman,U-Shape Sectional Sofas,Sofa & Armchairs,Adams,grey_tone,Velvet
AU-AS-000081-VL4007-SV,"Adams Chaise Sectional Sofa Left Facing, Fog Grey Velvet (Silver Leg)",AU-TAS-000081C,Adams Chaise Sectional Sofa,Chaise Sectional Sofas,Sofa & Armchairs,Adams,grey_tone,Velvet
AU-PB-000622-VL4014-NA,"Owen Right Chaise Sectional Sofa with Ottoman, Olive Gold Velvet (Natural Leg)",AU-TPB-000619,Owen Build-Your-Own Living Room Set,Sofa Sets,Furniture Sets,Owen,yellow_tone,Fabric|Wood
AU-AS-000577-LE4016-SL,"Elliot Leather Dining Chair, Caramel (Slate Metal Legs)",AU-TAS-000577,Elliot Leather Dining Chair,Dining Chairs,Chairs & Benches,Elliot,multi_tone,
AU-AS-000071C-DO4001-SV,"Adams Armchair Customized, Ecru (Silver Leg)",AU-TAS-000071C,Adams Armchair,Armchairs,Sofa & Armchairs,Adams,beige_tone,Fabric
AU-AS-000068C-DU4004-GD,"Adams Armless 2 Seater Sofa Customized, Marsala (Brass Leg)",AU-TAS-000068C,Adams Armless 2 Seater Sofa,Modular Armless 2-Seater Sofas,Sofa & Armchairs,Adams,red_tone,Fabric
AU-AS-000110C-VL4008-WA,"Capella Armchair Customized, Midnight Blue Velvet (Walnut Stain Leg)",AU-TAS-000110C,Capella Armchair,Armchairs,Sofa & Armchairs,Capella,blue_tone,Velvet
AU-AS-000113C-SR4001-WA,"Alfie Sofa Customized, Canary Yellow (Walnut)",AU-TAS-000113C,Alfie Sofa,3 Seater Sofas,Sofa & Armchairs,Alfie,yellow_tone,Fabric
AU-AS-000070C-LY4001-GD,"Adams 2 Seater Sofa Customized, Navy Blue (Brass Leg)",AU-TAS-000070C,Adams 2 Seater Sofa,2 Seater Sofas,Sofa & Armchairs,Adams,blue_tone,Fabric
AU-AS-000068C-LY4004-GD,"Adams Armless 2 Seater Sofa Customized, Pearl Blue (Brass Leg)",AU-TAS-000068C,Adams Armless 2 Seater Sofa,Modular Armless 2-Seater Sofas,Sofa & Armchairs,Adams,blue_tone,Fabric
AU-AS-000070C-LY4004-BLK,"Adams 2 Seater Sofa Customized, Pearl Blue (Black Leg)",AU-TAS-000070C,Adams 2 Seater Sofa,2 Seater Sofas,Sofa & Armchairs,Adams,blue_tone,Fabric
AU-AS-000584-NG4002,"Dawson Pit-Sectional Sofa Cover, Seagull",AU-TAS-000579,Dawson Combination Sofa Cover,Sofa Covers,Accessories,Dawson,grey_tone,Fabric
AU-50440450C-VC4002,"William Sofa Sectional Replacement Fabric Cover Right Facing Customized, Iron Grey",AU-T50440450,William Sofa Sectional Replacement Fabric Cover,Sofa Covers,Accessories,William,black_tone,Fabric
AU-AS-000067C-LY4005-SV,"Adams Right Chaise Customized, Warm Brown (Silver Leg)",AU-TAS-000067C,Adams Right Chaise,Modular Chaises,Sofa & Armchairs,Adams,brown_tone,Fabric
AU-AS-000067C-PL4005-GD,"Adams Right Chaise Customized, Teal (Brass Leg)",AU-TAS-000067C,Adams Right Chaise,Modular Chaises,Sofa & Armchairs,Adams,cyan_tone,Fabric
AU-AS-000066C-PL4009-BLK,"Adams Left Chaise Customized, Tiffany Blue (Black Leg)",AU-TAS-000066C,Adams Left Chaise,Modular Chaises,Sofa & Armchairs,Adams,cyan_tone,Fabric
AU-AS-000063C-TE4001-BLK,"Adams Corner Sofa Customized, Light Brown (Black Leg)",AU-TAS-000063C,Adams Corner Sofa,Modular Corner Sofas,Sofa & Armchairs,Adams,brown_tone,Fabric
AU-50440406C-PL4002,"Wayne Armchair Replacement Fabric Cover Customized, Charcoal",AU-T50440406,Wayne Armchair Replacement Fabric Cover,Sofa Covers,Accessories,Wayne,black_tone,Fabric
AU-AS-000067C-PL4009-SV,"Adams Right Chaise Customized, Tiffany Blue (Silver Leg)",AU-TAS-000067C,Adams Right Chaise,Modular Chaises,Sofa & Armchairs,Adams,cyan_tone,Fabric
